,Player,Value,Salary
0,Rajon Rondo,6.58,3000
1,Alec Burks,6.52,5300
2,Tony Bradley,6.5,3000
3,Christian Wood,5.87,7700
4,Isaiah Roby,5.83,3300
5,Darius Garland,5.79,5900
6,Kelly Olynyk,5.69,4400
7,Denzel Valentine,5.65,3100
8,Wayne Ellington,5.64,3300
9,Eric Gordon,5.58,5700
10,De'Andre Hunter,5.58,5400
11,Russell Westbrook,5.56,10200
12,Avery Bradley,5.53,3600
13,Jerami Grant,5.52,6900
14,Victor Oladipo,5.49,7000
15,John Wall,5.43,7400
16,Mason Plumlee,5.43,5500
17,Khris Middleton,5.39,7500
18,Fred VanVleet,5.38,7900
19,Brandon Ingram,5.37,8400
20,Lauri Markkanen,5.37,5600
21,Malcolm Brogdon,5.36,8000
22,Harrison Barnes,5.36,6100
23,James Harden,5.35,11000
24,Terry Rozier,5.33,6300
25,Bradley Beal,5.31,9000
26,Andre Drummond,5.3,8600
27,Derrick Rose,5.28,5800
28,Cameron Johnson,5.28,4000
29,Chris Boucher,5.27,5200
30,Domantas Sabonis,5.26,9200
31,Stephen Curry,5.25,9800
32,Nikola Vucevic,5.23,8700
33,Hamidou Diallo,5.23,3600
34,Jayson Tatum,5.21,9000
35,Julius Randle,5.2,9500
36,Kevin Huerter,5.19,4500
37,George Hill,5.18,4500
38,JaVale McGee,5.17,4300
39,Josh Jackson,5.15,5300
40,Jaylen Brown,5.13,8100
41,Rudy Gobert,5.12,7600
42,Tobias Harris,5.11,7700
43,Jrue Holiday,5.1,6700
44,Derrick Favors,5.08,3700
45,Collin Sexton,5.03,7200
46,Mike Conley,5.03,6800
47,Robert Williams,5.03,4200
48,Paul George,5.02,8900
49,PJ Washington,5.02,5000
50,Trae Young,5.0,9600
51,Kawhi Leonard,5.0,9100
52,RJ Barrett,4.99,7000
53,Bobby Portis,4.99,5000
54,Myles Turner,4.98,6300
55,Kyle Lowry,4.97,7800
56,Giannis Antetokounmpo,4.96,10900
57,Luguentz Dort,4.96,4700
58,Tristan Thompson,4.96,4500
59,Darius Bazley,4.95,5800
60,Joel Embiid,4.94,9900
61,Terrence Ross,4.94,5900
62,Obi Toppin,4.94,4000
63,Mikal Bridges,4.91,5700
64,Tyrese Haliburton,4.91,4700
65,Cole Anthony,4.91,4300
66,Gordon Hayward,4.9,7400
67,Seth Curry,4.9,5400
68,James Wiseman,4.9,4900
69,Bismack Biyombo,4.89,5000
70,Austin Rivers,4.88,3600
71,Mike Muscala,4.87,3500
72,Justin Jackson,4.87,3000
73,Wendell Carter Jr.,4.85,5400
74,Donte DiVincenzo,4.84,5100
75,LaMelo Ball,4.83,6000
76,Jordan Clarkson,4.83,5200
77,Chris Paul,4.82,7000
78,Josh Hart,4.82,4700
79,Cameron Payne,4.82,3800
80,Shai Gilgeous-Alexander,4.81,7300
81,Markelle Fultz,4.8,6200
82,Devonte' Graham,4.8,5500
83,Zach LaVine,4.77,8300
84,Clint Capela,4.76,6700
85,Khem Birch,4.74,3700
86,Jae Crowder,4.73,4600
87,De'Aaron Fox,4.72,8200
88,OG Anunoby,4.71,5700
89,David Nwaba,4.7,3500
90,Immanuel Quickley,4.7,3300
91,Rui Hachimura,4.69,5100
92,Blake Griffin,4.68,6500
93,Tomas Satoransky,4.68,4400
94,Marcus Smart,4.67,6600
95,Ryan Arcidiacono,4.67,3000
96,Ben Simmons,4.65,8800
97,Andrew Wiggins,4.65,6700
98,Nicolas Batum,4.65,4900
99,Tyler Herro,4.64,6500
100,T.J. McConnell,4.64,3400
101,Damion Lee,4.64,3300
102,Donovan Mitchell,4.63,7800
103,Pascal Siakam,4.63,7500
104,Richaun Holmes,4.62,5900
105,Cory Joseph,4.62,3900
106,Jae'Sean Tate,4.62,3600
107,Thomas Bryant,4.6,6900
108,Lonzo Ball,4.6,6500
109,Serge Ibaka,4.6,5700
110,Bam Adebayo,4.59,8500
111,Dario Saric,4.59,3900
112,Miles Bridges,4.58,5300
113,Matt Thomas,4.58,3000
114,Zion Williamson,4.57,7800
115,Duncan Robinson,4.56,4600
116,Cody Zeller,4.54,3800
117,Daniel Gafford,4.54,3200
118,Steven Adams,4.53,6200
119,Deandre Ayton,4.52,7300
120,Sterling Brown,4.51,3400
121,Gabe Vincent,4.5,3000
122,Coby White,4.49,6800
123,John Collins,4.48,7200
124,Larry Nance Jr.,4.47,6900
125,Caleb Martin,4.47,3400
126,Shake Milton,4.46,4900
127,Deni Avdija,4.46,4500
128,Delon Wright,4.45,4100
129,Pat Connaughton,4.45,3400
130,Isaiah Stewart,4.45,3100
131,Marvin Bagley III,4.43,5200
132,Mitchell Robinson,4.4,5600
133,Danny Green,4.4,3800
134,Kevin Knox II,4.4,3200
135,Otto Porter Jr.,4.37,6500
136,Elfrid Payton,4.37,6000
137,Svi Mykhailiuk,4.37,3500
138,Kelly Oubre Jr.,4.36,5500
139,Reggie Bullock,4.36,4200
140,Aaron Gordon,4.35,6400
141,Thaddeus Young,4.35,4600
142,Justin Holiday,4.34,4500
143,Eric Bledsoe,4.33,6000
144,Doug McDermott,4.33,4400
145,Danuel House Jr.,4.33,4100
146,Bogdan Bogdanovic,4.32,5300
147,Cam Reddish,4.31,4900
148,Joe Ingles,4.31,4800
149,Raul Neto,4.31,3800
150,Brook Lopez,4.3,4200
151,Devin Booker,4.28,7900
152,Jeff Teague,4.27,4400
153,Evan Fournier,4.25,5300
154,Goran Dragic,4.22,6200
155,Patrick Williams,4.21,4300
156,Precious Achiuwa,4.21,3500
157,Eric Paschall,4.2,4300
158,Hassan Whiteside,4.19,3300
159,Nickeil Alexander-Walker,4.19,3100
160,Nemanja Bjelica,4.18,3500
161,Buddy Hield,4.17,6600
162,Al Horford,4.17,5800
163,Cedi Osman,4.16,5500
164,Royce O'Neale,4.14,5000
165,Ivica Zubac,4.14,4300
166,Dwayne Bacon,4.1,3500
167,Payton Pritchard,4.09,4600
168,Theo Maledon,4.09,3400
169,T.J. Warren,4.05,5500
170,P.J. Tucker,4.05,4000
171,Lou Williams,4.01,4400
172,Nerlens Noel,3.99,3400
173,Brad Wanamaker,3.99,3100
174,Davis Bertans,3.95,4800
175,Garrett Temple,3.95,3300
176,Patrick Beverley,3.92,4000
177,Marquese Chriss,3.89,4600
178,Isaac Bonga,3.88,3000
179,Norman Powell,3.85,3800
180,Saddiq Bey,3.84,4400
181,Aaron Holiday,3.84,3300
182,Reggie Jackson,3.82,3500
183,Luke Kennard,3.77,4100
184,Ish Smith,3.76,4000
185,Aron Baynes,3.75,3900
186,Andre Iguodala,3.73,3200
187,Kevon Looney,3.73,3100
188,Jimmy Butler,3.72,7300
189,Daniel Theis,3.72,4300
190,Grant Williams,3.68,3500
191,D.J. Augustin,3.67,3300
192,Dennis Smith Jr.,3.67,3000
193,Furkan Korkmaz,3.63,3400
194,Kevin Love,3.62,6000
195,Robin Lopez,3.6,3600
196,Cody Martin,3.58,3000
197,Draymond Green,3.56,5200
198,JJ Redick,3.53,3200
199,Aleksej Pokusevski,3.53,3100
200,Bojan Bogdanovic,3.51,5900
